Id,Province,Zone,CountVoter,CountRealVoter
0089fa99-2616-4393-87c1-df75db81826d,นครราชสีมา,1,150462,106546
02956100-52df-4bf7-81af-9841b8f391d7,นครราชสีมา,2,156723,111755
b618c381-b36e-4eb2-8d3e-a9d1656838e8,นครราชสีมา,3,155273,109937
8bd56836-f043-488f-b879-49f698a3a5a5,นครราชสีมา,4,148602,104609
3ee354c6-ca70-45d6-99e3-afcbe8ace61d,นครราชสีมา,5,149853,93477
0129980c-6ce5-4dff-9f37-b984f622ea89,นครราชสีมา,6,148238,86124
eb80277e-8638-40ce-b215-362ba35eaf45,นครราชสีมา,7,147973,98363
09d2bd43-74b8-417c-ac02-9e6d1e52a733,นครราชสีมา,8,145407,101159
97d93e0d-0ed0-4925-84c7-073554ef7db0,นครราชสีมา,9,148113,109175
be200290-b285-4fa0-9325-88d43f372f71,นครราชสีมา,10,144029,103801
2e6dd58f-dbc6-451e-9bab-7e7aeb108aec,นครราชสีมา,11,147657,105651
c4f6ce26-d973-4075-85c4-580b36aaf9ef,นครราชสีมา,12,145099,98200
1e2a237d-0da7-4af8-9ed1-d6aba2d1ffad,นครราชสีมา,13,154509,108261
40bafb71-f1b5-4c8a-92a9-951ef951168f,นครราชสีมา,14,144239,94451
f31758fb-9c92-43d9-bc75-d0fcda288b63,บุรีรัมย์,1,152864,100569
442fc473-7b99-428c-b3e0-e3f67c7d3deb,บุรีรัมย์,2,150273,94818
009b6ad4-9293-40c8-a31e-45f62d979227,บุรีรัมย์,3,155414,97640
eedd410a-9a0e-4d89-8014-de7b85f8c19d,บุรีรัมย์,4,156946,100241
eef56095-24a4-49e6-863d-a181f4377c79,บุรีรัมย์,5,152404,91781
bf38a4f0-58db-496c-9d41-937a86dc29d8,บุรีรัมย์,6,153181,111820
24064fbb-916a-4ee5-8430-6ab2d8d50bae,บุรีรัมย์,7,153714,95356
30586f80-fdcb-486f-99ca-edca78ee62fc,บุรีรัมย์,8,154142,90853
a6379859-c42c-4638-ad3e-56d9cd3143b7,สุรินทร์,1,153949,103071
c78ed2e8-d6ae-43de-9570-addfba183dd6,สุรินทร์,2,155448,105093
348f5157-3bb8-4b37-b33c-caa0bb30b60b,สุรินทร์,3,156968,96353
695d387a-cd89-4d84-b3fa-e22538a9b1fc,สุรินทร์,4,156787,100460
c2e0b102-4ba7-4c7a-9681-ad6cb049ddb9,สุรินทร์,5,157052,95599
816da9f1-6972-4faf-a2cf-8b7bc2dc6e1d,สุรินทร์,6,150900,89026
bf8a032f-3550-4e2c-837a-4fe62a546cdd,สุรินทร์,7,147477,92022
7d2d2e4c-db39-414c-ac29-55a03995780f,ศรีสะเกษ,1,148552,104548
d33e99a6-3eb9-4cb8-9d35-ef35ee3a4893,ศรีสะเกษ,2,145348,92921
2f13bee0-9dae-411e-bf56-998fb8a0bed1,ศรีสะเกษ,3,144961,90496
51af7ac3-89e7-4f80-a88b-8e87b8ace87f,ศรีสะเกษ,4,145928,95185
969e4104-6873-48c1-abce-75b6f6228034,ศรีสะเกษ,5,143310,90842
84a41134-05e8-4c72-9aa5-f357f7590bde,ศรีสะเกษ,6,139462,88996
bdfe3117-210f-4033-8087-8af9d6dd0f55,ศรีสะเกษ,7,143076,95196
f469bee1-529f-40e8-8da5-45d8cf5153e9,ศรีสะเกษ,8,139753,90427
aa22a578-01c4-4b56-bf1b-5a1c6f7c364a,อุบลราชธานี,1,161052,118181
7cb89fce-29c2-4a1d-84f8-d510ff0e8cfd,อุบลราชธานี,2,155871,103240
79e7dbc9-72ba-40fe-8d81-7c4a0c4eeeb9,อุบลราชธานี,3,147286,104973
beb5fb35-a925-4f1d-8c1b-3f40fd9ebf3a,อุบลราชธานี,4,131152,85467
775a0a5b-ab71-43a5-849f-738f6ade038f,อุบลราชธานี,5,150390,91291
03e544d4-1408-4be2-88c7-002f51c2e5e3,อุบลราชธานี,6,133775,85484
af4d5a9a-0303-49a8-9184-3a0456d20cee,อุบลราชธานี,7,133340,88742
14fd63cf-faf9-461d-85d7-30fc1fb88a8f,อุบลราชธานี,8,141296,94055
f342d50f-0e35-4501-a8d0-32f6d5c6b7eb,อุบลราชธานี,9,138248,87171
91f7d818-e1a9-4386-a270-ab41b5204e4c,อุบลราชธานี,10,149147,101032
d3bd785e-0c12-45f7-bb97-100a42db82da,ยโสธร,1,145823,100282
e63ff9b0-8f8a-432d-990e-6dae726a6924,ยโสธร,2,142675,91228
ed739846-235e-4113-8e43-6bb3e9253c0a,ยโสธร,3,144405,96154
29acfc81-fecf-4361-a56d-b5e0653bc17f,ชัยภูมิ,1,147431,99166
7ccfc8a0-11cb-4f84-ad6f-e5cf69e319aa,ชัยภูมิ,2,152773,103108
43fb0b6d-738d-4213-b572-dde10b7037fe,ชัยภูมิ,3,130706,82726
1ba42104-de5b-4798-a1da-bbeb497bbc74,ชัยภูมิ,4,169209,105318
e3edf83c-3bcd-42de-8e29-eb1b40f9ace9,ชัยภูมิ,5,146346,97704
2f35d709-e70e-4a7d-8826-2c32ac835a8c,ชัยภูมิ,6,153954,99534
6e46ab06-b494-4bd9-883d-0af56a6ef88a,อำนาจเจริญ,1,144406,97879
989d993b-d98a-4b91-ab2c-985eaeac7198,อำนาจเจริญ,2,153929,103170
70898360-957b-4da5-8b72-447a3fe638bf,บึงกาฬ,1,162217,106014
b60b5a37-d7cf-4e4a-876f-e4ab04695d78,บึงกาฬ,2,160222,101658
3aedd12e-b629-48d6-93a4-0871fa9e9b35,หนองบัวลำภู,1,136229,87861
484504a1-7737-4cca-8113-3291639ae1cf,หนองบัวลำภู,2,133612,83342
6d991b26-246b-4ecc-bb85-0185eb5411a0,หนองบัวลำภู,3,130250,80602
145304a6-0014-4460-be97-4bf6debbcc98,ขอนแก่น,1,155571,113108
b359abb2-659a-4563-a455-09e2d64cb55a,ขอนแก่น,2,156606,115439
10458887-ad24-4909-94d0-c3a74d4c7be4,ขอนแก่น,3,154844,106667
31154d3b-0ba3-44fe-a9e0-b72c885b6d11,ขอนแก่น,4,153698,106414
54128003-65d2-4293-bc8d-e362ef6cacc5,ขอนแก่น,5,133254,83304
89eb152b-2aa3-4191-8425-a53a111a23be,ขอนแก่น,6,138703,88983
b4fbff33-efd5-4583-be99-8087147e9d16,ขอนแก่น,7,133289,88711
04759bbd-fea5-4212-abd4-fda023b640f4,ขอนแก่น,8,147249,90594
28e09320-009c-4238-a0a1-ec67a42898ed,ขอนแก่น,9,138025,87268
5561065b-341b-4361-bdc3-38522ca54983,ขอนแก่น,10,135357,90583
6158cb73-fc39-49ff-9413-8c2e9bd77799,อุดรธานี,1,146021,96995
9e463df6-c04a-4c61-9da1-fff4c067832b,อุดรธานี,2,156933,98969
d7b94af1-0e98-46ee-8c09-6056a070556f,อุดรธานี,3,152097,89870
6b1cc8c5-84f7-4984-83be-7e0168b35add,อุดรธานี,4,155130,93694
27345819-a79c-4cef-ac8f-0b9811db55dd,อุดรธานี,5,153145,94157
2c6cb6dc-6711-42da-b887-d245daf6ac44,อุดรธานี,6,164851,100067
840fff98-7013-470a-91b0-d56cbebdcd42,อุดรธานี,7,151020,97787
cb8ea75e-9c0f-4781-89e1-b0991c42a03c,อุดรธานี,8,153581,97087
f3e715f4-0936-4ae4-8cd9-35599c516814,เลย,1,167516,121738
21788dd4-07b6-4e82-af81-4de96f2da765,เลย,2,167676,116023
9ddf311e-83a4-4547-88c4-cae8bed6992e,เลย,3,167284,126010
3be9c95f-cef7-49d6-bfb7-f03ae91eb175,หนองคาย,1,136558,88183
ad8c3224-0836-493a-8881-56d974edda36,หนองคาย,2,133133,78404
4c57d1b3-cc8b-412e-a45f-ea7993373042,หนองคาย,3,135790,83637
20d64d8b-9df5-4537-a1a7-9ca361907cef,มหาสารคาม,1,158147,113787
5a5b9a82-7ac5-4ccf-9baf-a3fb4e5e4c7d,มหาสารคาม,2,154068,99895
61f0492a-2e8f-423c-9acd-1a59bc87283d,มหาสารคาม,3,152705,99126
91f7e2e1-91fb-4a31-9936-f595510bd38f,มหาสารคาม,4,154573,101257
7f2b2daf-3468-4a1b-8bfe-893dfd6fd742,มหาสารคาม,5,157949,110906
bfeb2c87-73ed-4f52-b016-7345cd25aeb0,ร้อยเอ็ด,1,155773,111288
a4541738-80f1-4062-b4d5-dd9f8b0045e1,ร้อยเอ็ด,2,152132,97339
446ae4ef-b80a-44a3-9ab9-8c91402cd955,ร้อยเอ็ด,3,146564,93576
9b89d268-0432-45e8-b9ab-7228d7c7667f,ร้อยเอ็ด,4,149780,93335
ce0423c2-10b1-4d40-9c03-bc94b8198fc6,ร้อยเอ็ด,5,148862,92429
5cac3f88-0f0b-42ac-8356-dd9790df837e,ร้อยเอ็ด,6,146462,95125
77ae1c40-fc2b-4d0b-aa5a-6a9490503afd,ร้อยเอ็ด,7,153244,98946
120702b5-4589-4fe0-93a8-89f01ec55a7f,กาฬสินธุ์,1,154397,106442
d21506c0-87dc-4818-98ba-56aaa0ccd083,กาฬสินธุ์,2,156911,105130
ef8113c1-e895-42a0-a2ac-878dd2f19b9a,กาฬสินธุ์,3,156234,100252
f59c2a9d-a600-42f2-8bc4-604a072e29fc,กาฬสินธุ์,4,157553,100313
cfb009ff-314b-4cc5-81e8-4f2e163fe33e,กาฬสินธุ์,5,160076,104075
f5468291-ea75-4ad1-94e1-01f3e7094c5d,สกลนคร,1,152688,105122
31c84192-2ee5-430f-814e-32bed8dab0e3,สกลนคร,2,139056,83221
049e0f0e-2f92-4ff6-86ab-566dfb880117,สกลนคร,3,147683,97521
df353009-5a6b-4297-9659-ccb638fcc26a,สกลนคร,4,153111,93885
6df355e8-f3d8-47ba-8fae-9e444a04f8fe,สกลนคร,5,151201,91925
d7dcca5f-ab1d-42ed-ab39-328f1268bc04,สกลนคร,6,150403,96081
89be1077-a29b-4416-b09a-3fc61d379059,นครพนม,1,139077,90534
57535837-ce97-4ad5-b405-d2cbc94e3bad,นครพนม,2,137912,88935
b4c3b744-ccbc-40e4-aabc-842cab99ec3f,นครพนม,3,140086,88738
270f8f3b-0add-4c06-aac5-3c423918a442,นครพนม,4,140328,89879
ce60c029-23cf-4908-84be-e8067edd41f2,มุกดาหาร,1,136444,95138
d48592b0-ddc0-4f86-883b-49d4ed4315aa,มุกดาหาร,2,135540,93171
ff812072-8eaa-4fb4-9ab8-2caffeca4397,เชียงใหม่,1,189994,140739
b0aeeee0-ea4f-4517-8990-52dcd0a9a320,เชียงใหม่,2,142374,112527
e6caab25-7a26-4b45-8781-812f21331be1,เชียงใหม่,3,150657,121700
6df6ed88-7c17-4ff9-83aa-e85702773a43,เชียงใหม่,4,154830,118911
efba83e1-3ea4-44a4-b320-4d9e35e002ca,เชียงใหม่,5,151657,117617
0c5c36e1-a6de-41b9-be0a-7b4682cefc64,เชียงใหม่,6,96262,67443
384df384-a516-4e43-aaee-a647a799747a,เชียงใหม่,7,119429,86612
6e2fcd87-c420-44e1-abdf-59c8403d60de,เชียงใหม่,8,164327,134463
4d2334e5-850e-4e6e-87bf-a3927ad2639f,เชียงใหม่,9,140784,108319
cf5e0ca1-3405-44ff-a935-0f2fd6e22df2,ลำพูน,1,168456,136633
f568456a-74ff-4d97-8d8d-244d662a2c16,ลำพูน,2,167687,134667
60f755cc-811b-4a5c-8ac3-eeaa0f0309ca,ลำปาง,1,156455,119474
a782bb85-7d76-4b70-a277-7f1837ce037b,ลำปาง,2,142953,103258
e241bfae-b17b-4bba-99be-bd691a4c7a2c,ลำปาง,3,160705,120325
07846545-f6bf-4aa8-a822-5f0791008009,ลำปาง,4,164672,116479
cba54cd9-a531-4377-9b85-0db749fc0684,อุตรดิตถ์,1,195029,135933
13005839-e3b4-4181-907d-74aa672ff67d,อุตรดิตถ์,2,176138,116346
55a8d1e4-05b0-4988-93d5-ec34adb33c7e,แพร่,1,196794,143623
f97d1d14-ffc9-44c3-9f1b-560d2374a060,แพร่,2,177527,117806
743578cb-9cb4-440c-b908-cedb65463de8,น่าน,1,139796,104706
48d383ae-0b23-45ad-a953-7be28950f346,น่าน,2,131281,97643
e0dfb66d-7ff4-433d-9b62-45f45e53dc51,น่าน,3,118475,86605
733daa71-b830-490c-8a8e-cb97550c2a1f,พะเยา,1,130139,98921
c61993d9-e8c9-4bb6-b148-2045fe91cd78,พะเยา,2,129500,93470
c0c3d5ea-6e09-46c7-8db1-3ffa524af776,พะเยา,3,134298,97547
91b5371f-e2f7-4226-8efa-b39684977fdc,เชียงราย,1,134853,99609
8cb001a3-9909-484c-8932-4bb0f9ce97b0,เชียงราย,2,139931,101959
041176c2-f74c-4e78-ba21-0b759e63645b,เชียงราย,3,150311,112145
956f31a1-127e-41d4-981b-27547ea53bd0,เชียงราย,4,150315,111807
56994d69-d6b0-4369-8c12-3654ad0cc6dd,เชียงราย,5,139552,98425
