Id,Province,Zone,Score,CountAuthority,PercentScore,PartyWin,Region
d434c057-55ba-4a3c-af69-b356c5c51180,นครศรีธรรมราช,5,98658,146386,67.3957892148156,ประชาธิปัตย์,South
eb9b45fa-c20e-4967-9881-281f16510f77,นครศรีธรรมราช,6,95656,139455,68.5927360080313,ประชาธิปัตย์,South
c9864803-e490-4246-93b6-add7f4974575,นครศรีธรรมราช,7,93018,150011,62.0074527867956,พลังประชารัฐ,South
682c865a-afcd-4603-9ea6-485a866a5294,นครศรีธรรมราช,8,103728,148575,69.8152448258455,ประชาธิปัตย์,South
9f9da48e-06e3-49b5-b92c-5a5917981e48,พังงา,1,144793,202831,71.3860307349468,ประชาธิปัตย์,South
63a4e787-37b4-4d4d-b7e4-61829eaab0d4,ภูเก็ต,1,96186,145051,66.3118489358915,พลังประชารัฐ,South
4413fc2c-7bb7-418f-80c4-1dfae17c327f,ภูเก็ต,2,100493,149655,67.1497778223247,พลังประชารัฐ,South
239a76a2-3d69-4cd8-a938-242174e409df,ระนอง,1,94778,135654,69.867456912439,ภูมิใจไทย,South
8e00aac1-7efe-4fe1-9db0-21ef615e16a8,สงขลา,1,90817,127989,70.9568791067982,พลังประชารัฐ,South
0283db72-2bd8-4f8f-89e1-b3579a2efc73,สงขลา,2,100642,140848,71.454333749858,พลังประชารัฐ,South
e31299a4-9dfc-4e7d-b0ae-ce9db3e1d16d,สงขลา,3,103425,140302,73.7159840914598,พลังประชารัฐ,South
335f0837-5db7-4dbc-a75c-497251c4a205,สงขลา,4,89338,126305,70.7319583547761,พลังประชารัฐ,South
e8494d36-a4a5-4722-86c1-b7d9409704cd,สงขลา,5,107453,147869,72.6676991120519,ประชาธิปัตย์,South
177d780c-4602-4aee-b638-cadfad2b4cb6,สงขลา,6,88564,126480,70.022137887413,ประชาธิปัตย์,South
3de360dc-d13c-4459-bb71-084951d81a77,สงขลา,7,92175,123697,74.516762734747,ภูมิใจไทย,South
8b737511-cb21-4777-95b2-03e24955227f,สงขลา,8,100731,134809,74.7212723186137,ประชาธิปัตย์,South
da48064b-ca8e-4681-b573-47420c62f3c5,สุราษฎร์ธานี,1,92586,135072,68.5456645344705,ประชาธิปัตย์,South
f105926c-db7d-4d83-b9f2-72df5277fe52,สุราษฎร์ธานี,2,97089,141642,68.5453467191935,ประชาธิปัตย์,South
2b003509-8646-45f8-aaf1-a9a8dff1c080,สุราษฎร์ธานี,3,95768,131956,72.5757070538664,ประชาธิปัตย์,South
11231ef9-2398-4717-aa5a-7c3e86456203,สุราษฎร์ธานี,4,98791,134583,73.4052592080723,ประชาธิปัตย์,South
e3926415-e9a6-4fe2-ad8d-d5f3c2325b61,สุราษฎร์ธานี,5,93478,127355,73.3995524321778,ประชาธิปัตย์,South
3f75b706-633a-4091-8bfc-f3ca60e77060,สุราษฎร์ธานี,6,97476,132870,73.3619327161888,ประชาธิปัตย์,South
3bfb04d4-cb82-48a2-9aa9-850b9f731067,ตรัง,1,124964,166246,75.1681243458489,พลังประชารัฐ,South
260b52fd-7680-4521-bffb-719236a768a2,ตรัง,2,120696,160230,75.3267178431005,ประชาธิปัตย์,South
5ca197dd-7b3c-4278-9969-13f591685258,ตรัง,3,120142,165657,72.5245537465969,ประชาธิปัตย์,South
1b7cfb27-c98f-48d7-a49f-a81c569193f0,นราธิวาส,1,98960,137964,71.728856803224,พลังประชารัฐ,South
e0e7c4c5-a1e9-40dc-b1d5-f88239b5910f,นราธิวาส,2,90660,131541,68.9214769539535,พลังประชารัฐ,South
676292c6-92ba-4364-ab43-ce54a05bbdb5,นราธิวาส,3,98039,136833,71.6486520064604,ประชาชาติ,South
5c6d4c65-6094-4be3-ac29-d6c6bc1dc29a,นราธิวาส,4,111591,145232,76.8363721493886,ประชาชาติ,South
7c33386e-36b6-4646-a206-a7d8103f543f,ปัตตานี,1,96400,131608,73.2478268798249,ประชาธิปัตย์,South
134f880e-8bda-42d6-8536-eae349650b42,ปัตตานี,2,85138,116660,72.9795988342191,ภูมิใจไทย,South
fc6dd86f-24dd-49f5-b797-a27810f54af0,ปัตตานี,3,90707,120977,74.9787149623482,ประชาชาติ,South
d591b577-a930-4211-9d9a-e1cc68fe850c,ปัตตานี,4,84709,119267,71.0246757275692,ประชาชาติ,South
4ce932ea-bd34-41bc-ae29-ada6cf846d70,พัทลุง,1,102562,131751,77.8453294472148,ภูมิใจไทย,South
60ae9e5b-e3eb-48dd-ad76-949c48cb4b0b,พัทลุง,2,104597,132753,78.7906864628295,ภูมิใจไทย,South
4186cc51-9a28-4544-9d6f-7cf319a74774,พัทลุง,3,112750,147267,76.5616193716175,ประชาธิปัตย์,South
b499231e-88a7-4b22-9758-7376878b1898,ยะลา,1,88390,121195,72.9320516522959,พลังประชารัฐ,South
be26478f-c8bc-48a6-960f-4a13af8421c5,ยะลา,2,92083,121865,75.5614819677512,ประชาชาติ,South
23532f8a-6bed-42fe-bd63-b19ab7a0dadf,ยะลา,3,88049,121575,72.4236068270615,ประชาชาติ,South
2969b0ac-98d7-476a-b7de-c0d4e067ccf1,สตูล,1,81362,110587,73.572843100907,ภูมิใจไทย,South
45eeeb68-cd4c-40c8-955f-3be2e871361b,สตูล,2,95613,121009,79.0131312547001,ภูมิใจไทย,South
